Date,España,Colombia
2020-12-31 00:00:00+00:00,1928265,1642775
2021-01-01 00:00:00+00:00,1928265,1654880
2021-01-02 00:00:00+00:00,1928265,1666408
2021-01-03 00:00:00+00:00,1928265,1675820
2021-01-04 00:00:00+00:00,1958844,1686131
2021-01-05 00:00:00+00:00,1982544,1702966
2021-01-06 00:00:00+00:00,1982544,1719771
2021-01-07 00:00:00+00:00,2024904,1737347
2021-01-08 00:00:00+00:00,2050360,1755568
2021-01-09 00:00:00+00:00,2050360,1771363
2021-01-10 00:00:00+00:00,2050360,1786900
2021-01-11 00:00:00+00:00,2111782,1801903
2021-01-12 00:00:00+00:00,2137220,1816082
2021-01-13 00:00:00+00:00,2176089,1831980
2021-01-14 00:00:00+00:00,2211967,1849101
2021-01-15 00:00:00+00:00,2252164,1870179
2021-01-16 00:00:00+00:00,2252164,1891034
2021-01-17 00:00:00+00:00,2252164,1908413
2021-01-18 00:00:00+00:00,2336451,1923132
2021-01-19 00:00:00+00:00,2370742,1939071
2021-01-20 00:00:00+00:00,2412318,1956979
2021-01-21 00:00:00+00:00,2456675,1972345
2021-01-22 00:00:00+00:00,2499560,1987418
2021-01-23 00:00:00+00:00,2499560,2002969
2021-01-24 00:00:00+00:00,2499560,2015485
2021-01-25 00:00:00+00:00,2593382,2027746
2021-01-26 00:00:00+00:00,2629817,2041352
2021-01-27 00:00:00+00:00,2670102,2055305
2021-01-28 00:00:00+00:00,2705001,2067575
2021-01-29 00:00:00+00:00,2743119,2077633
2021-01-30 00:00:00+00:00,2743119,2086806
2021-01-31 00:00:00+00:00,2743119,2094884
2021-02-01 00:00:00+00:00,2822805,2104506
2021-02-02 00:00:00+00:00,2851869,2114597
2021-02-03 00:00:00+00:00,2883465,2125622
2021-02-04 00:00:00+00:00,2913425,2135412
2021-02-05 00:00:00+00:00,2941990,2142660
2021-02-06 00:00:00+00:00,2941990,2151207
2021-02-07 00:00:00+00:00,2941990,2157216
2021-02-08 00:00:00+00:00,2989085,2161462
2021-02-09 00:00:00+00:00,3005487,2166904
2021-02-10 00:00:00+00:00,3023601,2173347
2021-02-11 00:00:00+00:00,3041454,2179641
2021-02-12 00:00:00+00:00,3056035,2185169
2021-02-13 00:00:00+00:00,3056035,2190116
2021-02-14 00:00:00+00:00,3056035,2195039
